Country,gdp2010,gdp2011,gdp2012
Afghanistan,15936784436,18033526069,
Albania,11858166295,12959563902,13119013351
Algeria,1.62E+11,1.99E+11,2.08E+11
American Samoa,,,
Andorra,,,
Angola,82470894868,1.04E+11,1.14E+11
Antigua and Barbuda,1135539048,1124586886,1176348888
Argentina,3.69E+11,4.46E+11,4.75E+11
Armenia,9260285762,10138077996,9910387657
Aruba,2467703911,2584463687,
Australia,1.14E+12,1.38E+12,1.52E+12
Austria,3.77E+11,4.18E+11,4.00E+11
Azerbaijan,52905998879,63403650746,67197738735
Bahamas,7888087000,7872584000,8149004000
Bahrain,22945456867,,
Bangladesh,1.00E+11,1.12E+11,1.16E+11
Barbados,4109500000,3685000000,
Belarus,55220932614,64271575245,63267017440
Belgium,4.69E+11,5.14E+11,4.84E+11
Belize,1398500000,1447500000,
Benin,6558416322,7294900431,7557286829
Bermuda,5757433000,5557128000,
Bhutan,1585319109,1833738376,1779561112
Bolivia,19649724661,23948670609,27035110167
Bosnia and Herzegovina,16775469778,18242471097,17047582420
Botswana,13895976510,16040248198,14410993364
Brazil,2.14E+12,2.48E+12,2.25E+12
Brunei Darussalam,12369708859,16359795686,16953952625
Bulgaria,47727325909,53544649410,51030480061
Burkina Faso,9209288383,10395757480,10441012681
Burundi,2026864414,2355652064,2471954069
Cambodia,11242266334,12829541141,14061796429
Cameroon,22488424689,25320741717,24983980484
Canada,1.58E+12,1.78E+12,1.82E+12
Cape Verde,1659053271,1901136230,1897350475
Cayman Islands,,,
Central African Republic,1984747842,2165868600,2138965636
Chad,8540674846,10581391312,11018023538
Channel Islands,,,
Chile,2.18E+11,2.51E+11,2.68E+11
China,5.93E+12,7.32E+12,8.23E+12
Colombia,2.87E+11,3.36E+11,3.70E+11
Comoros,543376206.1,610372697.4,595900353.5
Congo Dem. Rep.,13107979826,15653634042,17869718210
Congo Rep.,12007880067,14425606793,13677928884
Costa Rica,36298272445,41032245031,45127292711
Cote d Ivoire,22920779598,24073812830,24680372724
Croatia,58873839435,61789184184,56441607483
Cuba,,,
Curacao,,,
Cyprus,23132450331,24992076731,22980960640
Czech Republic,1.98E+11,2.16E+11,1.96E+11
Denmark,3.13E+11,3.34E+11,3.14E+11
Djibouti,1128611700,1239144502,
Dominica,474886713.7,476475691.1,479638820.3
Dominican Republic,51653902770,55668552666,58951239186
Ecuador,67626516000,77699720000,84532444000
Egypt,2.19E+11,2.36E+11,2.57E+11
El Salvador,21427900000,23095100000,23786800000
Equatorial Guinea,12261420852,16806886028,17697394251
Eritrea,2117039511,2607739837,3091837398
Estonia,18845656095,22154665058,21854197101
Ethiopia,29706216184,31708848033,43133073100
Faeroe Islands,,,
Fiji,3173316478,3818108967,3881890698
Finland,2.35E+11,2.63E+11,2.50E+11
France,2.55E+12,2.78E+12,2.61E+12
French Polynesia,,,
Gabon,14539337959,18791347239,18661104043
Gambia,951805801.4,898282865.9,917292053
Georgia,11638236643,14434619972,15829300979
Germany,3.28E+12,3.60E+12,3.40E+12
Ghana,32299226079,39177828488,40710447429
Greece,2.92E+11,2.90E+11,2.49E+11
Greenland,,,
Grenada,769708641.6,780334231.4,789542404.4
Guam,,,
Guatemala,41340507361,46980150075,50806430482
Guinea,4735956476,5095824524,6767919333
Guinea-Bissau,835390893,967762548.7,897408214.3
Guyana,2259288026,2576731667,2850572407
Haiti,6634579143,7346156703,7843484458
Honduras,15396291005,17423742072,17967497441
Hong Kong,2.29E+11,2.49E+11,2.63E+11
Hungary,1.29E+11,1.39E+11,1.26E+11
Iceland,12564460546,14074764558,13656532880
India,1.71E+12,1.87E+12,1.84E+12
Indonesia,7.09E+11,8.46E+11,8.78E+11
Iran,4.23E+11,5.14E+11,
Iraq,1.35E+11,1.81E+11,2.10E+11
Ireland,2.06E+11,2.21E+11,2.10E+11
Isle of Man,,,
Israel,2.17E+11,2.43E+11,
Italy,2.04E+12,2.19E+12,2.01E+12
Jamaica,13202861067,14425917751,14839858411
Japan,5.50E+12,5.90E+12,5.96E+12
Jordan,26425379367,28840197019,31243324000
Kazakhstan,1.48E+11,1.88E+11,2.02E+11
Kenya,32198151217,33620684016,37229405067
Kiribati,141610713.6,166683857.7,175709256.6
Korea Dem. Rep.,,,
Korea Rep.,1.01E+12,1.11E+12,1.13E+12
Kosovo,5593654275,6452514048,6237563675
Kuwait,1.24E+11,1.77E+11,
Kyrgyz Republic,4794361821,6197765942,6473175648
Lao PDR,7181441152,8226921895,9298926552
Latvia,24009680460,28480338368,28373857404
Lebanon,37124378109,40094328358,42945273632
Lesotho,2203867071,2524537450,2447573299
Liberia,1292696476,1545412512,1767121781
Libya,,,
Liechtenstein,,,
Lithuania,36306384146,42872072871,42245532390
Luxembourg,52507236842,59200833333,57117125225
Macao,28359706123,36796998498,43582271462
Macedonia,9338665631,10439099881,9663203711
Madagascar,8837041787,9911781297,9975124872
Malawi,5398616985,5621000678,4263794984
Malaysia,2.47E+11,2.88E+11,3.04E+11
Maldives,2134104884,2153636963,2222429330
Mali,9422267260,10656395534,10308146676
Malta,8163841060,9151793161,8721923077
Marshall Islands,162935849.8,173700000,186901200
Mauritania,3671380305,4273232648,4199051817
Mauritius,9718331363,11241885393,10492013574
Mexico,1.04E+12,1.16E+12,1.18E+12
Micronesia,294117230.5,310287519.3,327200000
Moldova,5811622394,7015201446,7254113625
Monaco,5350993377,6074506533,
Mongolia,6200357070,8761426371,10271393281
Montenegro,4114780574,4501811520,4231452000
Morocco,90770671432,99211339029,96729450169
Mozambique,9274448732,12568440513,14587709350
Myanmar,,,
Namibia,11032994277,12477806263,12807113496
Nepal,15955711501,18977262011,19414664133
Netherlands,7.75E+11,8.36E+11,7.72E+11
New Caledonia,,,
New Zealand,1.40E+11,,
Nicaragua,8586295846,9635568028,10507356838
Niger,5410608053,6016972088,6568231896
Nigeria,2.29E+11,2.44E+11,2.63E+11
Northern Mariana Islands,,,
Norway,4.21E+11,4.91E+11,5.00E+11
Oman,57849155213,71781535039,
Pakistan,1.76E+11,2.11E+11,2.31E+11
Palau,196543326.1,212903319.8,228415735.3
Panama,27053000000,31315800000,36252500000
Papua New Guinea,9480047959,12393604089,15653921367
Paraguay,20028375554,26007966687,25502060502
Peru,1.54E+11,1.77E+11,1.97E+11
Philippines,2.00E+11,2.25E+11,2.50E+11
Poland,4.70E+11,5.16E+11,4.90E+11
Portugal,2.27E+11,2.38E+11,2.12E+11
Puerto Rico,97147300000,98757000000,1.01E+11
Qatar,1.27E+11,1.73E+11,
Romania,1.64E+11,1.90E+11,1.69E+11
Russian Federation,1.52E+12,1.90E+12,2.01E+12
Rwanda,5624506157,6354119344,7103000861
Samoa,572160378.3,634156046.8,677041350.7
San Marino,,,
Sao Tome and Principe,201037916.6,248286778.2,263729026.5
Saudi Arabia,4.51E+11,5.77E+11,
Senegal,12855297513,14448390591,14159758386
Serbia,36990001284,43291846196,37488935010
Seychelles,973337493.4,1059604732,1032178034
Sierra Leone,2575466372,2938747215,3796030045
Singapore,2.17E+11,2.45E+11,2.75E+11
Sint Maarten (Dutch part),,,
Slovak Republic,87077443709,96063803169,91619230769
Slovenia,46908328071,50279399500,45469230770
Solomon Islands,678625481.7,866672433.3,1008424232
Somalia,,,
South Africa,3.63E+11,4.02E+11,3.84E+11
South Sudan,14971581963,19172620087,9337312682
Spain,1.38E+12,1.48E+12,1.35E+12
Sri Lanka,49565548868,59186877969,59421426075
St. Kitts and Nevis,715470721.2,748075269.7,748492571.9
St. Lucia,1199537033,1210998173,1186225298
St. Martin (French part),,,
St. Vincent and the Grenadines,680960052,691119761.2,712589074.4
Sudan,64791706914,64053368930,58768800833
Suriname,4366914555,4304467564,4738181820
Swaziland,3691050503,3969078027,3746506333
Sweden,4.63E+11,5.39E+11,5.26E+11
Switzerland,5.52E+11,6.59E+11,6.32E+11
Syrian Arab Republic,59147033452,,73672408036
Tajikistan,5641741963,6522200291,6986537406
Tanzania,22915004297,23874165047,28248844763
