Country,gdp2010,gdp2011,gdp2012
Afghanistan,15936784436.00,18033526069.00,
Albania,11858166295.00,12959563902.00,13119013351.00
Algeria,162000000000.00,199000000000.00,208000000000.00
American Samoa,,,
Andorra,,,
Angola,82470894868.00,104000000000.00,114000000000.00
Antigua and Barbuda,1135539048.00,1124586886.00,1176348888.00
Argentina,369000000000.00,446000000000.00,475000000000.00
Armenia,9260285762.00,10138077996.00,9910387657.00
Aruba,2467703911.00,2584463687.00,
Australia,1140000000000.00,1380000000000.00,1520000000000.00
Austria,377000000000.00,418000000000.00,400000000000.00
Azerbaijan,52905998879.00,63403650746.00,67197738735.00
Bahamas,7888087000.00,7872584000.00,8149004000.00
Bahrain,22945456867.00,,
Bangladesh,100000000000.00,112000000000.00,116000000000.00
Barbados,4109500000.00,3685000000.00,
Belarus,55220932614.00,64271575245.00,63267017440.00
Belgium,469000000000.00,514000000000.00,484000000000.00
Belize,1398500000.00,1447500000.00,
Benin,6558416322.00,7294900431.00,7557286829.00
Bermuda,5757433000.00,5557128000.00,
Bhutan,1585319109.00,1833738376.00,1779561112.00
Bolivia,19649724661.00,23948670609.00,27035110167.00
Bosnia and Herzegovina,16775469778.00,18242471097.00,17047582420.00
Botswana,13895976510.00,16040248198.00,14410993364.00
Brazil,2140000000000.00,2480000000000.00,2250000000000.00
Brunei Darussalam,12369708859.00,16359795686.00,16953952625.00
Bulgaria,47727325909.00,53544649410.00,51030480061.00
Burkina Faso,9209288383.00,10395757480.00,10441012681.00
Burundi,2026864414.00,2355652064.00,2471954069.00
Cambodia,11242266334.00,12829541141.00,14061796429.00
Cameroon,22488424689.00,25320741717.00,24983980484.00
Canada,1580000000000.00,1780000000000.00,1820000000000.00
Cape Verde,1659053271.00,1901136230.00,1897350475.00
Cayman Islands,,,
Central African Republic,1984747842.00,2165868600.00,2138965636.00
Chad,8540674846.00,10581391312.00,11018023538.00
Channel Islands,,,
Chile,218000000000.00,251000000000.00,268000000000.00
China,5930000000000.00,7320000000000.00,8230000000000.00
Colombia,287000000000.00,336000000000.00,370000000000.00
Comoros,543376206.10,610372697.40,595900353.50
Congo Dem. Rep.,13107979826.00,15653634042.00,17869718210.00
Congo Rep.,12007880067.00,14425606793.00,13677928884.00
Costa Rica,36298272445.00,41032245031.00,45127292711.00
Cote d Ivoire,22920779598.00,24073812830.00,24680372724.00
Croatia,58873839435.00,61789184184.00,56441607483.00
Cuba,,,
Curacao,,,
Cyprus,23132450331.00,24992076731.00,22980960640.00
Czech Republic,198000000000.00,216000000000.00,196000000000.00
Denmark,313000000000.00,334000000000.00,314000000000.00
Djibouti,1128611700.00,1239144502.00,
Dominica,474886713.70,476475691.10,479638820.30
Dominican Republic,51653902770.00,55668552666.00,58951239186.00
Ecuador,67626516000.00,77699720000.00,84532444000.00
Egypt,219000000000.00,236000000000.00,257000000000.00
El Salvador,21427900000.00,23095100000.00,23786800000.00
Equatorial Guinea,12261420852.00,16806886028.00,17697394251.00
Eritrea,2117039511.00,2607739837.00,3091837398.00
Estonia,18845656095.00,22154665058.00,21854197101.00
