What city do you live in?,"What state or province do you live in, if applicable?",What country do you live in?,What is your age?,How often do you try to make other people happy?,Are your surroundings physically safe?,Do the people you're close to (family/friends) love and support you?,How often do you listen to music you enjoy?,"How often do you use technology (games, social media, etc.) for entertainment? ",How many hours of uninterrupted sleep do you get each night?,How often are you outdoors?,Do you feel respected by other people?,How much exercise do you get weekly?,How often do you smile every day?,Do you love and appreciate yourself?,"How often do you feel happy with what you do every day (e.g. work, school)?",How often do you argue with people who are close to you?
Austin,Texas,United States,32,4,4,4,3,5,7-9 hours,5,4,More than 90 minutes a week,3,3,4,2
Athens,Georgia,United States,32,5,4,5,5,5,7-9 hours,4,4,Less than 30 minutes a week,5,4,4,3
Odessa,Texas,United States,16,4,5,3,5,5,4-6 hours,3,3,Less than 30 minutes a week,2,3,4,2
Rochester,Indiana,United States,31,5,4,5,5,5,4-6 hours,5,4,More than 90 minutes a week,4,4,4,3
Rochester,Indiana,United States,33,5,5,5,3,5,7-9 hours,3,4,30- 60 minutes a week,4,5,4,2
Rochester,Indiana,United States,39,4,5,5,4,2,4-6 hours,4,5,More than 90 minutes a week,5,5,5,1
Rochester,Indiana,United States,41,5,5,3,1,3,1-3 hours,2,3,More than 90 minutes a week,3,3,3,5
Rochester,Indiana,United States,66,4,4,4,3,2,7-9 hours,3,4,More than 90 minutes a week,4,4,4,2
Rochester,Indiana,United States,34,4,5,5,5,5,7-9 hours,4,4,Less than 30 minutes a week,3,4,4,2
Milford,Massachusetts,United States,52,5,5,5,4,4,4-6 hours,3,4,More than 90 minutes a week,5,4,5,4
South Bend,Indiana,United States,38,4,4,4,4,3,7-9 hours,2,3,More than 90 minutes a week,3,3,4,3
Austin,Texas,United States,35,4,5,5,2,3,7-9 hours,2,4,Less than 30 minutes a week,4,5,5,4
Rochester,Indiana,United States,34,4,5,5,5,3,7-9 hours,3,4,More than 90 minutes a week,4,4,4,1
West Lafayette,Indiana,United States,47,4,4,4,5,5,4-6 hours,4,3,More than 90 minutes a week,3,2,3,2
Culver,Indiana,United States,17,4,3,5,5,5,7-9 hours,5,3,More than 90 minutes a week,4,3,3,4
Eureka,Missouri,United States,30,4,5,4,3,4,7-9 hours,3,5,More than 90 minutes a week,3,4,5,2
Oakland,California,United States,40,3,4,4,5,5,4-6 hours,3,4,More than 90 minutes a week,4,4,4,2
Somerville,Indiana,United States,30,4,5,5,4,4,7-9 hours,2,4,30- 60 minutes a week,4,4,4,2
Rochester,Indiana,United States,46,4,5,5,5,5,7-9 hours,3,4,More than 90 minutes a week,4,4,5,2
Rochester,Indiana,United States,36,5,4,4,5,4,4-6 hours,3,4,More than 90 minutes a week,4,3,2,2
Brooklyn,New York,United States,28,5,4,5,5,5,7-9 hours,1,2,30- 60 minutes a week,4,5,4,4
Rochester,Indiana,United States,59,4,5,4,4,5,4-6 hours,3,4,30- 60 minutes a week,4,4,4,2
Houston,Texas,United States,44,5,5,5,2,3,7-9 hours,2,3,Less than 30 minutes a week,3,2,3,2
New York,New York,United States,28,3,4,5,3,5,7-9 hours,2,3,More than 90 minutes a week,4,3,2,2
