Senator Names,Gender,State,Party,Religion,Campaign Money Raised (millions of $),Campaign Money Spent (millions of $)
Lamar Alexander,Male,Tennessee,Republican,Protestant,5.3,3.5
Kelly Ayotte,Female,New Hampshire,Republican,Catholic,7.3,6.0
Tammy Baldwin,Female,Wisconsin,Democrat,Unaffiliated,15.3,15.9
John Barrasso,Male,Wyoming,Republican,Protestant,4.9,2.9
Mark Begich,Male,Alaska,Democrat,Catholic,5.6,3.0
Michael Bennet,Male,Colorado,Democrat,Unaffiliated,15.1,14.1
Richard Blumenthal,Male,Connecticut,Democrat,Jewish,9.6,9.3
Roy Blunt,Male,Missouri,Republican,Protestant,14.0,13.6
Cory Booker,Male,New Jersey,Democrat,Protestant,13.0,11.2
John Boozman,Male,Arkansas,Republican,Protestant,4.1,4.0
Barbara Boxer,Female,California,Democrat,Jewish,13.8,7.1
Sherrod Brown,Male,Ohio,Democrat,Protestant,23.9,23.9
Richard Burr,Male,North Carolina,Republican,Protestant,8.8,5.6
Maria Cantwell,Female,Washington,Democrat,Catholic,11.7,10.7
Benjamin Cardin,Male,Maryland,Democrat,Jewish,6.6,6.0
Thomas Carper,Male,Delaware,Democrat,Protestant,4.7,4.7
Robert “Bob” Casey Jr.,Male,Pennsylvania,Democrat,Catholic,13.9,14.0
Saxby Chambliss,Male,Georgia,Republican,Protestant,2.5,1.3
Daniel Coats,Male,Indiana,Republican,Protestant,5.7,5.1
Thomas Coburn,Male,Oklahoma,Republican,Protestant,2.1,2.8
Thad Cochran,Male,Mississippi,Republican,Protestant,1.2,0.6
Susan Collins,Female,Maine,Republican,Catholic,3.6,0.9
Chris Coons,Male,Delaware,Democrat,Protestant,7.7,4.8
Bob Corker,Male,Tennessee,Republican,Protestant,12.0,6.2
John Cornyn,Male,Texas,Republican,Other Christian,12.7,8.3
Michael Crapo,Male,Idaho,Republican,Other Christian,4.7,3.1
Ted Cruz,Male,Texas,Republican,Protestant,17.7,15.4
Joe Donnelly,Male,Indiana,Democrat,Catholic,6.2,6.1
