"QUESADA, JOE",18
ZEITGEIST II/AXEL CL,7
LOGA II,29
PIECEMEAL/GILBERT BE,33
"BENWAY, DR.",5
"FRIEDLANDER, SHARON",75
DREAMING CELESTIAL/T,18
MODRED THE MYSTIC,62
"THOMAS, DR. STAN",0
FIREWALL/THEARY/MIN,41
DR. FAUSTUS,17
"RAYMOND, NORA JONES",4
DEATHRAVEN/JOSHUA RA,5
MARROW/SARAH,162
EPOCH,98
WHITE TIGER/HECTOR A,82
CHEMISTRO III,14
OMNIBUS/LT. DALLAS,39
GRIS-GRIS,38
WHIZZER III/JAMES SA,101
KORATH THE PURSUER,33
OMEGA RED/ARKADY ROS,72
"WOLFE, HEDY",23
SCIMITAR,8
CRIMEWAVE/,3
AURORA/JEANNE-MARIE,301
"O'CONNELL, TARYN",16
CYBERTOOTH/YEN HSIEH,14
"THORPE, LUKE",6
TITHE COLLECTOR,7
"DUNER, MAJOR",5
"RENKO, DR. IRENO",9
RONAN THE ACCUSER [K,140
DAVIDOFF,11
CORDITE,10
VESTA,25
HYBRID/JAMES JIMMY M,16
"RATLIFF, OFFICER LAR",8
CAPTAIN HIP/FRED MAC,25
NOM,17
QABIRI,3
MINOR DOMO,10
TIMEBOMB/LOUIS JOUBE,10
MODEM/,1
NOX,10
NOY,15
GENESIS/TYLER DAYSPR,32
BYRRAH | HEROES REBO,5
"MARTINEZ, CARMELLO",10
TEXAS TWISTER/DREW D,109
"MUELLER, AMANDA",11
"LAMY, KELLY",12
"CARPATHIAN, ANDREW",7
FIREBOLT,1
PEATOR,153
NAUTILUS,4
"BLANDING, MRS.",3
GRIZZLY/MAXWELL MARK,26
THUMBELLINA,52
"RYCHENKO, MAJ. VALEN",1
WHITE QUEEN/EMMA FRO,278
CONDOR,15
"BURR, CLAYTON",13
"SHIPPINSKY, MALIK",4
MOTHER SUPERIOR,37
"SU, DR. KO BIN",24
"LANG, ALLISON",2
FERA,15
LEESHA,3
CASSIOPEIA,23
BUTTONS,9
KARYGMAX,7
CHINOOK,16
GADRIEL,10
TERRAX,9
"BERENGHETTI, SUSAN",10
UNION JACK II/BRIAN,52
"BURKE, THERESA TRACY",14
BOLT/LAWRENCE EVANS,11
BIG MAN/FREDERICK FO,32
MOONDANCER,22
MR. X,5
24-HOUR MAN/EMMANUEL,3
GENECIDE,20
"LEIGHTON, BRIAN",1
SYNRAITH,13
FALLEN | MUTANT X-VE,48
BOULDER/,6
"TAKIMOTO, RON",5
"BEAUMONT, SPENCER",14
OZYMANDIAS,63
BARRIER/,7
THENA,165
MUSTANG/,7
"PRENTISS, BETTY DEAN",18
TALISMAN,107
PEMBROKE,20
BARRINGTON,4
ORPHAN-MAKER/PETER,31
HOARFROST/,22
SAT-YR-9,27
CRAZY EIGHT/LESLIE A,6
KREDDICK,67
TINKERER,51
ULTRA-MAX,1
"JACKSON, ANDREW JOCK",65
TOM THUMB/THOMAS THO,41
COMMANDER COURAGE/,11
SONIC,15
"ZOLA, ARNIM",60
"CHALMERS, MR.",7
GREEN GOBLIN IV/PHIL,57
PHAE-DOR,8
MURMUR II/ARLETTE TR,56
BLOOD WRAITH/SEAN DO,28
NICODEMUS II,9
BONES/ELIZABETH BLIS,12
"O'MEARA, KATHLEEN",9
DETHSTRYK,1
"FAIRMONT, HANNAH",69
SPIRAL,149
SIR BENEDICT,9
WILD CHILD | MUTANT,15
