"IPAddress","gen_StartDate","gen_EndDate","gen_TotalTimeSpentMinutes","gen_Gender","gen_Age","gen_Education","gen_Role","gen_Industry","gen_PageOneTimeMinutes","gen_PageOneNumberClicks","iq_Question1Response","iq_Question1CorrectAnswer","iq_Question2Response","iq_Question2CorrectAnswer","iq_Question3Response","iq_Question3CorrectAnswer","iq_TotalCorrect","iq_PercentageCorrect","iq_PageTwoTimeMinutes","iq_PageTwoNumberClicks","exp1_Treatment","exp1_Question1Response","exp1_Question1CorrectAnswer","exp1_Question2Response","exp1_Question2CorrectAnswer","exp1_Question3Response","exp1_Question3CorrectAnswer","exp1_Question4Response","exp1_Question4CorrectAnswer","exp1_TotalCorrect","exp1_PercentageCorrect","exp1_Question5Response","exp1_PageThreeTimeMinutes","exp1_PageThreeNumberClicks","exp1_PageFourTimeMinutes","exp1_PageFourNumberClicks","recall_Question1Response","recall_Question1CorrectAnswer","recall_Question2Response","recall_Question2CorrectAnswer","recall_Invalid","recall_TotalCorrect","recall_PercentageCorrect","recall_PageFiveTimeMinutes","recall_PageFiveNumberClicks","exp2_Treatment","exp2_DisplayedTreatment","exp2_Question1Response","exp2_Question2Response","exp2_Question2CorrectAnswer","exp2_Question3Response","exp2_Question3CorrectAnswer","exp2_Question4Response","exp2_Question4CorrectAnswer","exp2_TotalCorrect","exp2_PercentageCorrect","exp2_PageSixTimeMinutes","exp2_PageSixNumberClicks","exp2_PageSevenTimeMinutes","exp2_PageSevenNumberClicks","finalq_Question1Response","finalq_Question1CorrectAnswer","finalq_Question2Response","finalq_Question3Response","finalq_PercentageCorrect"
"79.154.156.111",2015-11-29 15:11:00,2015-11-29 15:20:00,9,"Female",33,"Masters Degree","Manager","Education",0.2796,6,"1",1,"4",1,"2",1,3,1,1.3307,3,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",0.432183333333333,2,1.1312,4,"6",1,"5",0,0,1,0.5,0.207383333333333,3,"Ordered Table",,"4","1",1,"2",1,"2",1,3,1,1.4687,7,0.111,2,"5",1,"5","5",1
"69.26.147.238",2015-11-29 15:11:00,2015-11-29 15:31:00,20,"Male",57,"4-year College Degree","Employee","Financial Activities",0.673433333333333,14,"1",1,"4",1,"2",1,3,1,1.69771666666667,8,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",1.79683333333333,6,1.35358333333333,12,"6",1,"5",0,0,1,0.5,0.4294,7,"Ordered Table",,"3","1",1,"2",1,"2",1,3,1,11.92005,8,0.595933333333333,11,"5",1,"4","4",1
"68.103.18.85",2015-11-29 17:00:00,2015-11-29 17:08:00,8,"Male",38,"Some College","Employee","None of these apply",0.756483333333333,7,"1",1,"4",1,"2",1,3,1,0.926783333333333,11,,"3",1,"3",1,"2",0,"3",0,2,0.5,"1",0.5166,7,0.769383333333333,8,"6",1,"6",1,0,2,1,0.251366666666667,6,"Ordered Table",,"4","1",1,"2",1,"2",1,3,1,0.5146,4,0.172783333333333,5,"5",1,"5","4",1
"99.92.193.56",2015-11-29 15:08:00,2015-11-29 15:11:00,3,"Male",27,"High School / GED","Manager","Manufacturing",0.645466666666667,9,"2",0,"3",0,"1",0,0,0,0.04135,3,,"2",0,"2",0,"3",1,"2",0,1,0.25,"2",0.0201166666666667,2,0.116516666666667,4,"2",0,"3",0,0,0,0,0.147833333333333,4,"Log scatterplot",,"4","2",0,"2",1,"3",0,1,0.333333333333333,0.0144166666666667,2,0.0542666666666667,3,"1",0,"5","5",0
"148.74.252.147",2015-11-29 15:06:00,2015-11-29 15:11:00,5,"Male",25,"4-year College Degree","None of these apply","None of these apply",0.262516666666667,7,"1",1,"3",0,"1",0,1,0.333333333333333,0.9173,9,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",0.410666666666667,3,0.6492,3,"6",1,"6",1,0,2,1,0.123333333333333,3,"Ordered Table",,"5","2",0,"1",0,"2",1,1,0.333333333333333,0.416666666666667,3,0.103483333333333,2,"4",0,"5","5",0
"199.200.106.236",2015-11-29 15:07:00,2015-11-29 15:12:00,5,"Male",22,"High School / GED","None of these apply","None of these apply",0.37465,8,"2",0,"4",1,"1",0,1,0.333333333333333,0.401183333333333,6,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",0.148,2,0.229383333333333,3,"6",1,"6",1,0,2,1,0.1556,3,"No Log scatterplot",,"4","1",1,"2",1,"3",0,2,0.666666666666667,0.174783333333333,2,0.189466666666667,3,"4",0,"5","5",0
"68.59.118.239",2015-11-29 15:06:00,2015-11-29 15:12:00,6,"Male",23,"4-year College Degree","None of these apply","None of these apply",0.267766666666667,9,"1",1,"4",1,"2",1,3,1,0.707416666666667,3,,"3",1,"2",0,"3",1,"2",0,2,0.5,"1",0.19575,2,0.528316666666667,3,"6",1,"6",1,0,2,1,0.120933333333333,3,"Ordered Table",,"4","2",0,"2",1,"2",1,2,0.666666666666667,0.332683333333333,2,0.155416666666667,2,"1",0,"5","4",0
"99.71.137.17",2015-11-29 15:06:00,2015-11-29 15:13:00,7,"Female",44,"Some College","Employee","Financial Activities",0.618066666666667,13,"1",1,"1",0,"2",1,2,0.666666666666667,0.906783333333333,7,,"3",1,"3",1,"3",1,"3",0,3,0.75,"3",0.4648,6,0.56185,7,"6",1,"6",1,0,2,1,0.313866666666667,7,"Ordered Table",,"5","1",1,"2",1,"2",1,3,1,0.336266666666667,4,0.15,4,"1",0,"5","5",0
"173.75.147.81",2015-11-29 15:05:00,2015-11-29 15:13:00,8,"Female",37,"4-year College Degree","Owner / Founder","Leisure and Hospitality",0.587433333333333,15,"1",1,"2",0,"2",1,2,0.666666666666667,0.8979,9,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",1.40571666666667,7,0.7561,7,"6",1,"6",1,0,2,1,0.267066666666667,7,"Unordered Table",,"4","2",0,"2",1,"2",1,2,0.666666666666667,1.62316666666667,6,0.0956166666666666,5,"5",1,"4","4",1
"108.171.130.187",2015-11-29 15:05:00,2015-11-29 15:13:00,8,"Male",26,"Masters Degree","Employee","Manufacturing",0.317416666666667,8,"1",1,"4",1,"2",1,3,1,0.5367,5,,"3",1,"2",0,"2",0,"2",0,1,0.25,"1",0.4919,2,0.769066666666667,3,"6",1,"6",1,0,2,1,0.166483333333333,3,"Unordered Table",,"4","1",1,"1",0,"2",1,2,0.666666666666667,0.538766666666667,2,0.26655,4,"2",0,"5","4",0
