V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q56_1,Q56_2,Q56_3,Q56_4,Q7,Q5,Q2,Q53,Q10,Q54,Q57_1,Q57_2,Q57_3,Q57_4,Q45,Q25,Q60,Q59,Q27,Q20_1,Q20_2,Q20_3,Q20_4,Q21_1_TEXT,Q21_2_TEXT,Q21_3_TEXT,Q21_4_TEXT,Q21_5_TEXT,Q21_6_TEXT,Q21_7_TEXT,Q22,Q49,Q19,Q20,Q23,Q24,Q25,Q21,Q27,Q29,Q71_1,Q71_2,Q71_3,Q71_4,Q73,Q72_1_TEXT,Q72_2_TEXT,Q72_3_TEXT,Q72_4_TEXT,Q72_5_TEXT,Q72_6_TEXT,Q72_7_TEXT,Q70,Q69,Q68,Q67,Q66,Q65,Q28,Q29,Q30,Q34_1,Q34_2,Q34_3,Q34_4,Q31,Q32,Q63,Q63_TEXT,Q23_1,Q23_2,Q23_3,Q23_4,Q47,Q39,Q40,Q58,Q42,Q43,Q44,Q35_1,Q36,Q79_1,Q79_2,Q79_3,Q79_4,Q80_1_TEXT,Q80_2_TEXT,Q80_3_TEXT,Q80_4_TEXT,Q80_5_TEXT,Q80_6_TEXT,Q80_7_TEXT,Q81,Q74,Q75,Q76,Q77,Q61,Q62,Q48,Q38,Q37_1,Q37_2,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",What is your gender?,"What is your age? (U.S. Census, 9 Categories)",What is the highest level of education you have completed?,Which of the following best describes your role in the organization you work for?,In which industry are you employed?,What is your Mechanical Turk ID? (if applicable),Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",First we're going to ask you a few warm-up questions. A few general instructions for the study: -...,BONUS ELIGIBLE: 16 out of 80 employees who worked for Company Z received awards for their perform...,Cognitive question 2,"BONUS ELIGIBLE: If the piece of paper shown above was folded into a cube without being turned, wh...","BONUS ELIGIBLE: John is 18 years old and his brother is a third of his age. When John is 36, how...",Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-Flash Version,Browser Meta Info-Java Support,Browser Meta Info-User Agent,Please look at the text and data presented and answer the questions below. Please answer all ques...,Every year thousands of different pharmaceutical drugs are marketed across the United States. Muc...,Nonordered chart junk,Nonordered table,Ordered chart junk,Ordered table,Ordered tufte,Nonordered tufte,BONUS ELIGIBLE: Which of the following companies spends the most money educating doctors about th...,BONUS ELIGIBLE: Approximately how much more money did Pfizer spend educating doctors compared to...,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",The data are repeated below for your convenience.,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-Flash Version,Browser Meta Info-Java Support,Browser Meta Info-User Agent,Nonordered chart junk,Nonordered table,Nonordered tufte,Ordered chart junk,Ordered table,Ordered tufte,BONUS ELIGIBLE: How many companies spent over $30M educating doctors in 2014?,BONUS ELIGIBLE: Consider the companies that spent the 2nd-most and the 2nd-least amount of money....,How would you categorize this article?,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#","BONUS ELIGIBLE:  On the previous page, which company had the highest total value of gifts, food,...",BONUS ELIGIBLE: How much did that company spend in 2014?,What information did you use to fill out the questions above? (Will not affect your bonus eligibi...,What information did you use to fill out the questions above? (Will not affect your bonus eligibi...-TEXT,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Please read the article below and answer the questions. ,"NOTE: The following is a true excerpt from a major US news publication.   Almost overnight, a pow...",Exp 2 log tufte,Exp 2 nonlog chartjunk,Exp 2 nonordered table,Exp 2 ordered table,"Despite all of this, Insys Therepeutics’ plans for Subsys are only just getting underway: On Tues...",Please rate the strength of the relationship between money received by a doctor from Insys Therep...-Strength of relationship,BONUS ELIGIBLE: Please look at the amount of marketing money received per month by doctors. In wh...,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-Flash Version,Browser Meta Info-Java Support,Browser Meta Info-User Agent,The data are repeated below for your convenience.,Exp 2 log tufte,Exp 2 nonlog chartjunk,Exp 2 nonordered table,Exp 2 ordered table,BONUS ELIGIBLE: Which is the correct statement comparing Dr. Awerbuch and Dr. Somerville?,BONUS ELIGIBLE: About how many prescriptions did Dr. Somerville write?,You're almost done! Thanks for all of your help.,Remember back to the first article. What were the data from the first article showing?,"Please indicate the extent to which you agree or disagree with the following statements.-""I believe drug company marketing could influence the number of prescriptions a doctor writes.""","Please indicate the extent to which you agree or disagree with the following statements.-""I support legislation to limit the interaction between pharmaceutical companies and doctors.""",LocationLatitude,LocationLongitude,LocationAccuracy
R_4Zz6mpKC4zBa26R,Default Response Set,Anonymous,,,79.154.156.111,0,11/29/2015 15:11,11/29/2015 15:20,1,1.019,17.795,32.436,6,2,19,6,4,2,A58TEFXJCNK7M,35.128,114.97,116.902,3,1,1,1,4,2,39.496,65.427,66.481,2,Safari,9.0.1,Macintosh,1920x1080,19.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7",1,1,,,,,1,,3,3,7.721,75.593,76.602,4,1,Safari,9.0.1,Macintosh,1920x1080,19.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7",,,,,,1,3,1,1,4.201,16.644,17.635,3,6,5,3,,117.74,205.862,206.714,7,1,1,,,,1,1,4,1,9.831,16.491,19.649,2,Safari,9.0.1,Macintosh,1920x1080,19.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7",1,,,,1,2,2,1,5,5,5,37.38240051,-5.976104736,-1
R_3q8uM8PtBDnZoMp,Default Response Set,Anonymous,,,69.26.147.238,0,11/29/2015 15:11,11/29/2015 15:31,1,0.68,41.086,42.153,14,1,43,5,5,3,A1Z4UXN787AQ8N,1.215,103.078,104.979,8,1,1,1,4,2,2.302,110.112,111.898,6,Firefox,42,Windows NT 6.3,1920x1080,19.0.0,1,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,1,,,,1,,,3,3,4.14,85.355,86.901,12,1,Firefox,42,Windows NT 6.3,1920x1080,19.0.0,1,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,,,,1,,3,1,1,7.805,33.569,35.585,7,6,5,3,,12.624,727.827,730.508,8,1,1,,,,1,1,3,1,1.522,37.278,38.459,11,Firefox,42,Windows NT 6.3,1920x1080,19.0.0,1,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,,,,1,2,2,1,5,4,4,34.04530334,-118.2413025,-1
R_3y0vdFu2WzhgamB,Default Response Set,Anonymous,,,68.103.18.85,0,11/29/2015 17:00,11/29/2015 17:08,1,2.297,47.686,50.714,7,1,24,3,5,11,A1SKAGZXTWZW9D,10.015,65.622,66.333,11,1,1,1,4,2,41.877,72.873,73.79,7,Chrome,46.0.2490.86,Windows NT 6.0,1360x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,1,,,,,,3,3,6.239,52.402,54.118,8,1,Chrome,46.0.2490.86,Windows NT 6.0,1360x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,,,,,,2,1,1,5.842,20.924,22.822,6,6,6,3,,100.47,131.346,132.286,4,1,1,,,,1,1,4,1,14.295,24.662,25.573,5,Chrome,46.0.2490.86,Windows NT 6.0,1360x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,,,,1,2,2,1,5,5,4,39.03799438,-95.72779846,-1
R_1eJcZcKn3dqfJQP,Default Response Set,Anonymous,,,99.92.193.56,0,11/29/2015 15:08,11/29/2015 15:11,1,0.799,39.527,41.124,9,1,13,2,4,7,A1J3M4XC3O6ZUI,22.469,24.95,26.754,3,1,2,1,3,1,2.16,3.367,52.679,2,Chrome,46.0.2490.86,Windows NT 6.1,1280x800,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,1,,,,2,2,1.471,8.462,10.061,4,1,Chrome,46.0.2490.86,Windows NT 6.1,1280x800,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",,,,1,,,3,3,2,2.016,10.886,12.188,4,2,3,3,,3.032,3.897,5.6,2,1,1,1,,,,1,4,2,7.096,10.352,10.855,3,Chrome,46.0.2490.86,Windows NT 6.1,1280x800,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,,2,3,1,1,5,5,44.05990601,-88.52780151,-1
R_1qh2IQkCsTd1mp1,Default Response Set,Anonymous,,,148.74.252.147,0,11/29/2015 15:06,11/29/2015 15:11,1,0.388,16.139,17.57,7,1,11,5,6,11,A3UEAWMRV5YQ6V,3.442,58.48,59.192,9,1,1,1,3,1,54.607,79.247,79.822,3,Firefox,42,Windows NT 10.0,1440x900,19.0.0,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,1,,,,,,1,3,3,8.072,47.024,47.654,3,1,Firefox,42,Windows NT 10.0,1440x900,19.0.0,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,,1,,,,3,2,1,3.601,11.001,11.974,3,6,6,3,,9.479,34.479,35.272,3,1,1,,,,1,1,5,2,10.663,16.872,17.55,2,Firefox,42,Windows NT 10.0,1440x900,19.0.0,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,,,,1,1,2,1,4,5,5,40.95950317,-73.88069916,-1
R_2VKEv2X9YNwU8QN,Default Response Set,Anonymous,,,199.200.106.236,0,11/29/2015 15:07,11/29/2015 15:12,1,0.836,23.315,24.759,8,1,8,2,6,11,A3VMIPLOCONDO4,15.399,39.47,41.253,6,1,2,1,4,1,42.618,51.498,52.318,2,Firefox,42,Windows NT 6.2,1920x1080,19.0.0,1,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,1,,,,1,,,3,3,6.337,20.1,21.036,3,1,Firefox,42,Windows NT 6.2,1920x1080,19.0.0,1,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,,,,1,,3,1,1,5.553,14.889,15.949,3,6,6,3,,64.487,74.974,75.703,2,1,1,,1,,,1,4,1,13.842,25.21,25.758,3,Firefox,42,Windows NT 6.2,1920x1080,19.0.0,1,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,,1,,,2,3,1,4,5,5,40.31410217,-112.006897,-1
R_e8LbDOXnVshtCSZ,Default Response Set,Anonymous,,,68.59.118.239,0,11/29/2015 15:06,11/29/2015 15:12,1,0.742,16.808,19.234,9,1,9,5,6,11,A3BTW2I69IR1AE,10.444,52.889,54.004,3,1,1,1,4,2,33.537,45.282,56.755,2,Chrome,46.0.2490.86,Windows NT 6.3,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,1,,,,3,2,9.704,41.403,44.451,3,1,Chrome,46.0.2490.86,Windows NT 6.3,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",,,,1,,,3,1,1,4.077,11.333,12.96,3,6,6,3,,59.993,79.954,80.988,2,1,1,,,,1,1,4,2,16.502,25.827,27.207,2,Chrome,46.0.2490.86,Windows NT 6.3,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,,,,1,2,2,1,1,5,4,30.52520752,-84.33209991,-1
R_1n7IZnjjQQ9eSp7,Default Response Set,Anonymous,,,99.71.137.17,0,11/29/2015 15:06,11/29/2015 15:13,1,1.33,38.414,40.784,13,2,30,3,5,3,AY5J43G9KD11K,14.867,69.274,69.938,7,1,1,1,1,2,51.005,78.893,80.352,6,Firefox,42,Windows NT 6.1,1366x768,19.0.0,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,1,,,,,1,,3,3,12.24,45.951,47.023,7,1,Firefox,42,Windows NT 6.1,1366x768,19.0.0,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,,,,,1,3,1,3,6.593,25.425,26.127,7,6,6,3,,71.106,91.282,92.12,4,1,1,,,,1,1,5,1,22.527,31.527,32.351,4,Firefox,42,Windows NT 6.1,1366x768,19.0.0,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,,,,1,2,2,1,1,5,5,32.85940552,-117.2072983,-1
R_3fOA0cJV2b5L4Ov,Default Response Set,Anonymous,,,173.75.147.81,0,11/29/2015 15:05,11/29/2015 15:13,1,13.584,48.83,50.433,15,2,23,5,1,6,A2P76QVLSGJR45,7.202,61.076,61.582,9,1,1,1,2,2,4.678,89.021,90.016,7,Firefox,42,Windows NT 6.1,1366x768,19.0.0,1,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,1,,,,1,,,3,3,7.312,52.678,53.906,7,1,Firefox,42,Windows NT 6.1,1366x768,19.0.0,1,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,,,,1,,3,1,1,8.49,24.514,25.563,7,6,6,3,,2.526,99.916,101.004,6,1,1,,,1,,1,4,2,20.867,26.604,27.159,5,Firefox,42,Windows NT 6.1,1366x768,19.0.0,1,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,,,,,2,2,1,5,4,4,40.45959473,-79.83580017,-1
