V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q56_1,Q56_2,Q56_3,Q56_4,Q7,Q5,Q2,Q53,Q10,Q54,Q57_1,Q57_2,Q57_3,Q57_4,Q45,Q25,Q26,Q27,Q20_1,Q20_2,Q20_3,Q20_4,Q21_1_TEXT,Q21_2_TEXT,Q21_3_TEXT,Q21_4_TEXT,Q21_5_TEXT,Q21_6_TEXT,Q21_7_TEXT,Q22,Q49,Q19,Q20,Q21,Q23,Q24,Q25,Q27,Q29,Q28,Q29,Q30,Q34_1,Q34_2,Q34_3,Q34_4,Q31,Q32,Q23_1,Q23_2,Q23_3,Q23_4,Q47,Q39,Q40,Q41,Q42,Q43,Q44,Q35_1,Q36,Q48,Q38,Q37_1,Q37_2,Q55,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",What is your gender?,"What is your age? (U.S. Census, 9 Categories)",What is the highest level of education you have completed?,Which of the following best describes your role in the organization you work for?,In which industry are you employed?,What is your Mechanical Turk ID? (if applicable),Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",First we're going to ask you a few warm-up questions. A few general instructions for the study: -...,BONUS ELIGIBLE: 16 out of 80 employees who worked for Company Z received awards for their perform...,BONUS ELIGIBLE: Which number represents the smallest amount?,"BONUS ELIGIBLE: John is 18 years old and his brother is a third of his age. When John is 36, how...",Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-Flash Version,Browser Meta Info-Java Support,Browser Meta Info-User Agent,Please look at the text and data presented and answer the questions below. Please answer all ques...,Every year thousands of different pharmaceutical drugs are marketed across the United States. Muc...,Nonordered chart junk,Nonordered table,Nonordered tufte,Ordered chart junk,Ordered table,Ordered tufte,BONUS ELIGIBLE: Which of the following companies spends the most money educating doctors about th...,BONUS ELIGIBLE: Approximately how many times more did Pfizer spend on doctors than the drug compa...,BONUS ELIGIBLE: How many companies spent over $30M educating doctors in 2014?,BONUS ELIGIBLE: Estimate the difference between the amount of money spent by the company that spe...,How would you categorize this article?,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#","BONUS ELIGIBLE:  Remembering back to the previous page, which company had the highest total value...",BONUS ELIGIBLE: How much did that company spend in 2014?,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Please read the article below and answer the questions. ,"NOTE: The following is a true excerpt from a major US news publication.   Almost overnight, a pow...",Log scatterplot,Not log scatterplot,Ordered table,Unordered table,"Despite all of this, Insys Therepeutics’ plans for Subsys are only just getting underway: On Tues...",Please rate the strength of the relationship between money received by a doctor from Insys Therep...-Strength of relationship,BONUS ELIGIBLE: Please look at the amount of marketing dollars received per month by doctors. In...,You're almost done! Thanks for all of your help.,Remember back to the first article. What were the data from the first article showing?,"Please indicate the extent to which you agree or disagree with the following statements.-""I support legislation to limit the interaction between pharmaceutical companies and doctors.""","Please indicate the extent to which you agree or disagree with the following statements.-""I believe drug company marketing could influence the number of prescriptions a doctor writes.""","Thanks for your participation! We're currently running a pilot of this study, so we'd love to hea...",LocationLatitude,LocationLongitude,LocationAccuracy
R_1LtVUQ10ZoN0sON,Default Response Set,Anonymous,,,71.56.144.208,0,11/22/2015 12:53,11/22/2015 12:56,1,0.671,12.968,14.179,7,1,17,3,5,11,A1I9ZBV75AVWUS,20.471,37.767,38.613,3,1,1,3,2,14.318,59.158,59.996,5,Chrome,46.0.2490.86,Windows NT 6.1,1920x1200,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,,,1,,3,3,3,1,1,3.524,9.066,9.783,3,6,7,4.389,19.513,23.024,2,1,1,,,1,,1,3,2,1,3,4,4,"Nothing at this time, thanks!",45.55340576,-122.8191986,-1
R_R7ZX3acYAi6qRK9,Default Response Set,Anonymous,,,98.19.145.92,0,11/22/2015 12:53,11/22/2015 13:00,1,1.274,21.377,31.214,5,2,41,3,1,11,A3HR4FSGNCWFTP,28.214,63.991,65.336,3,1,2,3,2,54.027,126.751,128.13,5,Safari,9.0.1,Macintosh,1440x900,19.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7",1,1,,,,,,1,3,3,3,1,3,7.983,18.155,19.851,2,6,6,91.925,119.458,120.506,2,1,1,,,1,,1,5,1,1,1,5,5,,37.98869324,-84.48799896,-1
R_301AhcNbIs65O79,Default Response Set,Anonymous,,,50.163.248.103,0,11/22/2015 12:56,11/22/2015 13:01,1,1.199,17.991,23.578,7,2,27,3,5,6,ASTDBTVY3WP1K,14.246,33.534,34.572,3,1,1,3,2,3.205,120.341,121.483,9,Chrome,46.0.2490.86,Windows NT 10.0,1680x1050,19.0.0,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,,,1,,3,3,3,1,1,7.191,17,19.122,4,6,6,7.995,107.068,111.179,8,1,1,,1,,,1,5,1,1,3,5,5,,40.43099976,-79.92269897,-1
R_CgDJNDaacM4tC1z,Default Response Set,Anonymous,,,66.213.50.2,0,11/22/2015 12:53,11/22/2015 13:04,1,1.078,17.534,20.75,10,2,25,6,5,2,A138BU1VWM2RKN,38.378,86.529,87.524,3,1,1,3,2,107.588,249.008,251.644,9,Chrome,46.0.2490.86,Windows NT 5.1,1024x768,19.0.0,1,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,1,,,,3,3,3,1,1,6.402,12.49,13.814,2,6,6,108.57,146.134,160.407,2,1,1,,,1,,1,4,1,1,5,4,4,Enjoyed it.  Very interesting.,40.80949402,-81.37989807,-1
R_1lxEvJ8awnKSloC,Default Response Set,Anonymous,,,208.87.146.28,0,11/22/2015 13:11,11/22/2015 13:16,1,0.775,16.471,17.946,14,1,8,5,5,2,A1WDUICI1FG9F,10.093,22.032,22.672,6,1,1,3,2,12.96,119.838,120.829,14,Chrome,46.0.2490.86,Windows NT 6.3,1600x900,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,,,,1,3,3,3,1,1,11.588,17.84,18.579,4,8,6,43.773,72.901,73.634,4,1,1,,,1,,1,4,1,1,1,4,4,,17.30000305,-62.71669769,-1
R_43c4xyP6BopXAnT,Default Response Set,Anonymous,,,66.177.222.108,0,11/22/2015 13:00,11/22/2015 13:17,1,1.041,25.751,29.461,7,1,15,2,5,9,A18XFOKU5G1OL1,10.831,89.185,97.667,4,1,1,3,1,3.525,600.84,601.851,19,Chrome,46.0.2490.86,Windows NT 10.0,1920x1080,19.0.0,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,1,,,,,,3,4,2,1,1,39.764,61.445,62.724,2,10,5,9.791,91.765,92.109,10,1,1,1,,,,1,3,1,1,5,3,3,"none, thanks",27.64680481,-80.40350342,-1
R_1mefHPTKht0mxtw,Default Response Set,Anonymous,,,99.99.114.162,0,11/22/2015 13:41,11/22/2015 13:45,1,0.22,25.349,27.02,10,1,15,4,4,1,A27TJ5U1Z6PCHL,16.613,27.082,28.088,3,1,3,3,3,41.949,89.744,93.481,8,Firefox,42,Windows NT 10.0,1366x768,19.0.0,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,1,,,,1,,,2,2,3,2,1,15.168,18.939,21.616,2,7,3,4.715,5.895,15.941,2,1,1,,,1,,1,1,2,1,2,2,3,,41.31460571,-81.74490356,-1
R_1QoXuv4MnwDPxDc,Default Response Set,Anonymous,,,104.184.104.156,0,11/22/2015 13:34,11/22/2015 13:47,1,1.343,25.783,30.953,8,2,24,5,4,10,A1DJDT4B5B19Q2,25.127,45.335,48.044,3,1,1,3,1,30.43,202.517,208.147,10,Chrome,46.0.2490.86,Windows NT 6.1,1280x960,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,,,,1,3,1,3,1,3,6.582,13.708,16.158,2,6,6,273.208,345.704,347.896,9,1,1,1,,,,1,5,1,1,2,2,4,"While the first read appears to be crooked, you didn't offer a solutuion. more government over won't solve anything",33.56959534,-101.8572006,-1
R_3HtprD1vCfuh3fx,Default Response Set,Anonymous,,,98.235.142.17,0,11/22/2015 15:08,11/22/2015 15:14,1,1.163,14.337,22.096,7,1,29,2,6,5,A110KENBXU7SUJ,17.311,32.351,33.294,3,1,1,3,2,47.562,171.602,172.929,6,Chrome,46.0.2490.86,Windows NT 10.0,1510x849,19.0.0,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,,1,,,3,2,3,1,3,8.916,14.507,15.649,2,6,6,37.295,55.671,64.806,2,1,1,,1,,,1,2,1,1,3,5,5,,40.30839539,-76.69539642,-1
